学号ID,姓名,电话,生日,入学年份
20212146079,华斥陇,16607762963,2002/3/25,2020
20212146080,水万鸥,16896096900,2000/3/15,2020
20212146081,郑涉诀,17683410463,2002/2/28,2020
20212146082,赵携蒙,16952812662,2000/8/12,2020
20212146083,王底蜜,15413429343,2001/12/12,2020
20212146084,蒋老,15843641985,2000/11/24,2020
20212146085,施招文,15819400251,2000/7/21,2020
20212146086,魏匡脊,17649204422,2000/7/7,2020
20212146087,吕茄绢,14442376156,2000/9/2,2020
20212146088,施窍奎,15880853793,2001/3/22,2020
20212146089,钱高轮,17963861980,2001/2/6,2020
20212146090,华啥,17682542339,2000/6/26,2020
20212146091,金动戒,15227525319,2001/12/23,2020
20212146092,曹裴,18817705958,2002/4/16,2020
20212146093,魏践架,16209443121,2002/2/14,2020
20212146094,戚翘似,15589688675,2001/4/10,2020
20212146095,钱寇濒,17459724098,2001/12/19,2020
20212146096,戚设拘,17442407236,2001/10/11,2020
20212146097,陶戴硒,13770082877,2001/8/22,2020
20212146098,谢拐甸,18280964160,2001/1/30,2020
20212146099,韩况厅,15966401057,2002/2/13,2020
20212146100,谢冗颜,14181254461,2002/6/7,2020
20212146101,钱遥宽,14306513316,2002/5/20,2020
20212146102,孙扫惜,18525615343,2000/9/23,2020
20212146103,王夕,18792842358,2000/1/13,2020
20212146104,冯缝,18301397918,2001/10/20,2020
20212146105,蒋妊搐,13804719153,2001/10/20,2020
20212146106,谢聂轰,17463050064,2002/3/26,2020
20212146107,窦贝边,13729605249,2000/3/17,2020
20212146108,华氖简,18085266054,2001/3/3,2020
20212146109,邹舔宫,17449045406,2000/4/8,2020
20212146110,赵滦劲,15847856629,2001/8/18,2020
20212146111,窦祸撤,16284830019,2000/7/20,2020
20212146112,许颈吩,15084271725,2000/4/14,2020
20212146113,吕惑郊,14030083392,2002/5/17,2020
20212146114,褚豌接,15788419496,2000/2/21,2020
20212146115,褚噪垛,16417454719,2000/5/25,2020
20212146116,卫 熙,13600846434,2000/8/24,2020
20212146117,华罗宵,16069323935,2001/12/10,2020
20212146118,周迪浇,14835922524,2001/9/25,2020
20212146119,谢白验,15465301399,2000/12/11,2020
20212146120,戚畅潘,16880287778,2000/9/6,2020
20212146121,喻槐,15620619019,2000/9/30,2020
20212146122,施减狱,17383387656,2001/11/19,2020
20212146123,陈陀境,14371931730,2001/2/17,2020
20212146124,赵季靶,13509818761,2001/4/27,2020
20212146125,华懈吕,13816520352,2000/1/6,2020
20212146126,赵悬墒,16188413435,2000/8/30,2020
20212146127,孔绪堂,13556081910,2000/3/8,2020
20212146128,柏袍屯,15365809907,2000/3/3,2020
20212146129,韩厩戈,18559661266,2001/1/10,2020
20212146130,金壶痞,18507420634,2000/12/17,2020
20212146131,姜孽佃,16317948922,2002/1/31,2020
20212146132,卫蝗荣,16573952045,2001/5/23,2020
20212146133,尤开赦,18642449695,2000/9/6,2020
20212146134,尤肮危,17922898709,2002/1/24,2020
20212146135,窦滥沈,15562759082,2001/4/9,2020
20212146136,金润彭,16718281916,2001/10/16,2020
20212146137,张洼撩,15680617100,2000/11/6,2020
20212146138,尤瞪判,18808774070,2002/5/30,2020
20212146139,朱角,14282772352,2000/8/23,2020
20212146140,孙沛操,18231316256,2002/6/1,2020
20212146141,蒋汛票,18534644318,2000/4/6,2020
20212146142,吴蠕社,14954043905,2002/1/9,2020
20212146143,张难锅,17595094047,2000/10/15,2020
20212146144,蒋宪樟,18663018692,2002/3/20,2020
20212146145,张逾尾,18094919114,2002/1/19,2020
20212146146,蒋苦伞,17650651730,2000/12/24,2020
20212146147,张宠停,13796881808,2000/12/28,2020
20212146148,秦蛇惨,16051006927,2000/1/23,2020
20212146149,孔饮讹,14912406479,2001/1/16,2020
20212146150,金随,16927957713,2002/1/4,2020
20212146151,姜想吁,16649569707,2000/11/27,2020
20212146152,谢似烟,13956100692,2000/7/2,2020
20212146153,褚攫敦,17562384867,2002/1/4,2020
20212146154,张看,18877797606,2000/9/14,2020
20212146155,郑律,15018289686,2002/1/11,2020
20212146156,蒋佰链,18022064452,2001/2/24,2020
20212146157,金清枣,18145611899,2001/7/10,2020
20212146158,朱拭,16657677448,2000/5/7,2020
20212146159,张评颇,18642625808,2001/10/16,2020
20212146160,杨统,14183332629,2001/11/25,2020
20212146161,朱丰繁,16303602634,2001/3/11,2020
20212146162,施恩闭,15650772507,2001/9/20,2020
20212146163,窦耀瘟,18675871670,2000/1/12,2020
20212146164,蒋睦别,14225120924,2002/4/9,2020
20212146165,冯佣异,15569453985,2002/1/30,2020
20212146166,柏杉畅,18385406478,2001/11/30,2020
20212146167,朱议病,15959020358,2001/1/26,2020
20212146168,孙鲁十,15878103457,2001/7/14,2020
20212146169,曹储象,17925788355,2000/12/6,2020
20212146170,喻将,18869334787,2002/6/29,2020
20212146171,窦施,17867985103,2000/2/6,2020
20212146172,喻猫短,17101634478,2000/6/15,2020
20212146173,卫约供,13501820122,2000/2/4,2020
20212146174,邹汇焚,16090376774,2000/5/23,2020
20212146175,水乞酷,18412831894,2000/3/13,2020
20212146176,施朝畅,13561961717,2000/12/9,2020
20212146177,严错龟,14446380145,2001/10/28,2020
20212146178,尤 淘,15097322593,2001/11/26,2020
20212146179,郑酷洱,18032412533,2000/6/8,2020
20212146180,曹瘴吴,18194363446,2001/1/3,2020
20212146181,孙辟纳,16812657270,2001/12/28,2020
20212146182,张波霍,17556164140,2002/1/18,2020
20212146183,沈啪蟹,17067428837,2000/1/5,2020
20212146184,严磁唯,14472363549,2000/7/1,2020
20212146185,吕拓孔,18710686884,2001/1/22,2020
20212146186,孙版吕,16420199373,2002/5/27,2020
20212146187,柏迎谩,14441050364,2000/8/17,2020
20212146188,钱不惦,13562699318,2000/10/31,2020
20212146189,钱折,16436490381,2002/3/11,2020
20212146190,陶弯申,14641623343,2000/5/1,2020
20212146191,施傻掩,18829386818,2001/2/12,2020
20212146192,严赔镣,18136987455,2002/1/23,2020
20212146193,孔贱破,15358867097,2001/2/18,2020
20212146194,孙粪愚,15303364383,2000/5/2,2020
20212146195,谢猎彦,17746972488,2000/4/24,2020
20212146196,尤签竟,18208628325,2000/6/3,2020
20212146197,许梳,18180960424,2000/11/18,2020
20212146198,许探础,16875986718,2002/1/25,2020
20212146199,沈村偿,15675701704,2001/10/3,2020
20212146200,柏弊,17358820145,2000/9/13,2020
20212146201,冯玖木,16347633152,2001/9/11,2020
20212146202,朱激掀,16912227812,2001/11/30,2020
20212146203,吴隧派,13931563196,2001/12/14,2020
20212146204,郑镰,14333439963,2000/9/15,2020
20212146205,魏讨菊,14690828140,2002/5/19,2020
20212146206,水盔,17971431627,2001/7/29,2020
20212146207,吕龋胆,13895545692,2000/6/20,2020
20212146208,王属埃,18857529619,2002/4/23,2020
20212146209,姜狈墟,17359626845,2002/2/6,2020
20212146210,孔颓,15428372004,2000/11/11,2020
20212146211,郑裤达,18580131188,2000/4/26,2020
20212146212,李桐,15174272662,2000/9/25,2020
20212146213,窦骑钨,18138582880,2000/8/3,2020
20212146214,魏巩监,14629242209,2001/2/5,2020
20212146215,吴煌豁,15931016315,2000/10/28,2020
20212146216,陶镁娇,16941051498,2001/1/13,2020
20212146217,魏茅傲,15503904256,2000/1/19,2020
20212146218,秦恭铭,14865347924,2002/5/28,2020
20212146219,王彭咀,16821527986,2002/4/8,2020
20212146220,严汉,13541933428,2001/3/4,2020
20212146221,吕拨撤,18274834165,2002/6/1,2020
20212146222,陶嗡滁,13745466231,2000/8/28,2020
20212146223,秦箍节,14250603902,2001/10/31,2020
20212146224,张栅悦,14348985177,2002/5/8,2020
20212146225,戚你败,14525300245,2001/9/18,2020
20212146226,王升霄,18312206250,2001/5/8,2020
20212146227,陈橙,17337048006,2000/12/16,2020
20212146228,金珍悔,13980860737,2000/8/26,2020
20212146229,华热遣,16299747048,2000/6/25,2020
20212146230,李讶粉,16593608918,2000/7/29,2020
20212146231,喻滤饲,15468299477,2001/10/25,2020
20212146232,水滩诧,13759851774,2001/7/6,2020
20212146233,水妒,18226482494,2002/4/13,2020
20212146234,郑班怖,15084092689,2001/10/16,2020
20212146235,陶窥忍,16655122173,2001/11/13,2020
20212146236,喻心聪,18868606858,2000/1/4,2020
20212146237,水疾伙,17316481261,2001/2/23,2020
20212146238,章昧陷,15555902508,2002/4/29,2020
20212146239,许 影,17877064746,2001/7/24,2020
20212146240,韩戊姜,16586241618,2000/8/9,2020
20212146241,姜砸,18100656694,2000/10/20,2020
20212146242,吴蝶还,17443378378,2001/2/25,2020
20212146243,郑厂鹰,14481260513,2000/11/20,2020
20212146244,孔煤玛,16583720103,2001/6/19,2020
20212146245,邹溜铰,17496308465,2001/1/19,2020
20212146246,邹噪还,18771617092,2002/4/1,2020
20212146247,蒋秘葱,17705075103,2000/10/26,2020
20212146248,陶傻纷,13539591153,2000/2/1,2020
20212146249,蒋吞,18585394495,2000/2/23,2020
20212146250,姜蚀馏,18003544617,2000/10/28,2020
20212146251,赵潦戴,17149811316,2000/5/11,2020
20212146252,赵院绘,17167295054,2001/6/24,2020
20212146253,章羽渡,13946797643,2000/6/1,2020
20212146254,卫戳案,15590059005,2001/6/27,2020
20212146255,吴疯优,18302047948,2000/1/31,2020
20212146256,华冤门,16289804732,2001/2/12,2020
20212146257,冯养,15946394874,2001/1/13,2020
20212146258,陈蘑兼,15131067785,2001/4/30,2020
20212146259,吴遏斧,17892481110,2002/3/22,2020
20212146260,秦戈催,14943956856,2001/4/19,2020
20212146261,陶蹋孩,17969845255,2000/12/3,2020
20212146262,孙针皮,13511239627,2000/10/2,2020
20212146263,何仿咆,14427656654,2002/1/17,2020
20212146264,蒋抖义,15297139850,2001/11/7,2020
20212146265,邹聚乞,15518572317,2001/5/4,2020
20212146266,钱跪尝,17182719871,2001/2/4,2020
20212146267,曹蜗葫,18349052238,2000/7/1,2020
20212146268,魏腻窍,16775462828,2001/4/9,2020
20212146269,张尧崔,17086923590,2001/8/29,2020
20212146270,杨痹 ,17218904604,2000/1/31,2020
20212146271,邹吕合,13628479231,2002/2/14,2020
20212146272,曹鲍请,14526644940,2002/1/8,2020
20212146273,杨哪,18573677969,2000/6/22,2020
20212146274,严棉雏,16621496426,2001/10/15,2020
20212146275,施翰拾,16120549701,2001/10/15,2020
20212146276,曹雀需,18403540113,2001/6/26,2020
20212146277,王希但,15061653008,2001/5/16,2020
20212146278,曹邢土,16858061470,2000/5/17,2020
20212146279,吕逗,16497735460,2002/3/28,2020
20212146280,蒋颈娠,16437121713,2000/11/25,2020
20212146281,陈井,18489902006,2001/5/16,2020
20212146282,卫盘络,16452401013,2000/10/1,2020
20212146283,李茸陵,16435893676,2000/6/17,2020
20212146284,张骗,14950168364,2001/4/29,2020
20212146285,陶秃遇,16033185307,2001/12/11,2020
20212146286,王棉退,13657498476,2001/11/27,2020
20212146287,水蚊丝,15679590646,2001/11/20,2020
20212146288,卫舷绅,14915022196,2000/9/23,2020
20212146289,钱客,17759612646,2000/1/3,2020
20212146290,陈翠倪,14123284674,2002/6/18,2020
20212146291,沈僵障,13996395613,2000/6/17,2020
20212146292,吕辆揣,16784797565,2000/7/5,2020
20212146293,王杏愤,17984720733,2002/5/17,2020
20212146294,陈百,15534868253,2000/4/14,2020
20212146295,戚呕馈,15028850377,2000/6/10,2020
20212146296,沈拐 ,15933007588,2001/2/27,2020
20212146297,冯疡抛,18418291897,2000/4/28,2020
20212146298,严瓤剔,14990757801,2001/10/14,2020
20212146299,曹馆庭,14873488753,2000/4/28,2020
20212146300,王五,123123123,2000/1/1,2020
20212146301,张思,1234512345,2000/2/2,2020
20212146302,李四,222222222222,2000/1/1,2019/9/7
20212146303,张马,14950161267,2001/5/2,2020
